AROUSAL -per subject
NAME, RMSE, PearsonCoefficient, MAE, CCC
LSTM_100_timesteps_10_optimizer_adam_lr_0.0001_batch_128_epochs_400_realStopEpoch_8, 0.19998178752729226, 0.373035309009, 0.161896404967, 0.246675899838
LSTM_100_timesteps_10_optimizer_adam_lr_0.0001_batch_200_epochs_400_realStopEpoch_5, 0.19343151169865622, 0.413018530036, 0.157578478853, 0.267105010848
LSTM_100_timesteps_10_optimizer_sgd_lr_0.0001_batch_200_epochs_400_realStopEpoch_44, 0.19521203810912222, 0.384739470014, 0.159584565104, 0.242653906939
LSTM_120_timesteps_10_optimizer_sgd_lr_0.0001_batch_200_epochs_400_realStopEpoch_50, 0.19388178980282733, 0.402150341985, 0.158057572686, 0.244684710669
LSTM_150_timesteps_10_optimizer_sgd_lr_0.0001_batch_200_epochs_400_realStopEpoch_39, 0.19240130447433834, 0.41500443316, 0.157206477954, 0.252138556973
LSTM_100_timesteps_10_optimizer_adam_lr_0.0001_batch_200_epochs_400_realStopEpoch_7, 0.19522958527629816, 0.402546793358, 0.158515811253, 0.25838598305
LSTM_120_timesteps_10_optimizer_adam_lr_0.0001_batch_200_epochs_400_realStopEpoch_8, 0.1956976298386846, 0.382890983056, 0.158643628282, 0.252743431671
LSTM_150_timesteps_10_optimizer_adam_lr_0.0001_batch_200_epochs_400_realStopEpoch_8, 0.19542943877861613, 0.399669119381, 0.158908853054, 0.257983234251



